id,color_name
1,Nero
2,Bianco
3,Nero Ribelle
4,Grigio Maratea
5,Grigio
6,Blu Passione
7,Blu Emozione
8,Rosso Folgore
9,Bianco Alpi
10,Blu Nobile
11,Cuoio
12,Sabbia
13,Marrone
14,Blu
15,Rosso / Rosso
16,Nero / Grigio
17,Nero / Cuoio
18,Nero / Rosso
19,Rosso / Nero
20,Cuoio 색 스티칭이 있는 Nero
21,Sabbia 색 스티칭이 있는 Nero
22,Sabbia 색 스티칭이 있는 Marrone
23,Marrone / Blu
24,Rosso
25,Argento
26,Grigio 색 스티칭이 있는 Nero
27,Rosso 색 스티칭이 있는 Nero
28,Nero색 스티칭이 있는 Rosso
29,Ermenegildo Zenga - Nero / Grigio
30,Nero색 벨트가 있는 Nero
31,Ermenegildo Zenga - 그레이 실크
32,Cuoio/Nero
33,Nero-Roof Zenga Pelletessuta
34,Grigio-Roof Zenga Pelletessuta
35,Sabbia색 벨트가 있는 Nero
