id,store_name,store_address,city,exhibition_center,service_center,telephone,fax,description1,description2
1,FMK CPO,"4F 286 Gwangnaru-ro Seongdong-gu, 04796, Seoul",Seoul,1,0,82 2 4658820,82 2 4658821,OFFERED SERVICES:SALES,MASERATI OFFICIAL DEALER
2,강남 서비스센터,"서울특별시 강남구 도산대로 173 지하1층 (신사동 563-33), 06037, 서울",서울,0,1,82 02-6207-4549,82 02-511-8688,OFFERED SERVICES:ASSISTANCE,
3,강남 전시장,"서울특별시 강남구 도산대로 217 (신사동 588-21), 06026, 서울",서울,1,0,82 02-3433-0888,82 02-515-3249,OFFERED SERVICES:SALES,MASERATI OFFICIAL DEALER
4,광주 전시장/서비스센터,"광주광역시 서구 운천로 192 (쌍촌동 975-27), 61989, 광주",광주,1,1,82 062-376-8181,82 062-451-8040,"OFFERED SERVICES: SALES , ASSISTANCE , AUTHORIZED BODY SHOP",MASERATI OFFICIAL DEALER
5,대구 서비스센터,"대구광역시 수성구 동대구로 57길3 (범어동 591-1), 42118, 대구",대구,0,1,82 053-755-2013,82 053-752-2013,OFFERED SERVICES: ASSISTANCE,
6,대구 전시장,"대구광역시 수성구 동대구로 287 (범어동 590-13), 42118, Daegu",Daegu,1,0,82 053-751-2010,82 053-751-2012,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
7,대전 서비스센터,"대전광역시 대덕구 아리랑로157번길 1 (읍내동 362-5), 34360, 대전",대전,0,1,82 042-672-8885,82 042-672-8858,OFFERED SERVICES: ASSISTANCE,
8,대전 전시장,"대전광역시 대덕구 한밭대로1130번길 3 (중리동 236-1), 34427, 대전",대전,1,0,82 042-633-8881,82 042-627-8881,OFFERED SERVICES: SALES,MASERATI OFFICIAL DEALER
9,부산 서비스센터,"부산광역시 해운대구 죄동로 25 (중동1335-1), 48082, 부산",부산,0,1,82 051-928-8880,82 051-747-0177,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
10,부산 전시장,"부산광역시 해운대구 해운대해변로 308 2층 (중동 1400-10), 48099, 부산",부산,1,0,82 051-635-8999,82 051-747-3959,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
11,분당 서비스센터,"경기도 성남시 분당구 대왕판교로 311 (궁내동286-1), 13550, 분당",분당,0,1,82 031-608-3060,82 031-712-2060,OFFERED SERVICES: ASSISTANCE,
12,분당 전시장,"경기도 성남시 분당구 황새울로 214번길 8, MS프라자 (수내동 21-1), 13595, 분당",분당,1,0,82 031-717-0886,82 031-717-6886,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
13,서초 전시장,"서울시 서초구 반포대로 97 (서초동 1539-6), 06657, 서울",서울,1,0,82 02-3487-1010,82 02-3487-1011,OFFERED SERVICES: ASSISTANCE,
14,성수 서비스센터,"서울특별시 성동구 광나루로8길 6 (성수동), 04799, 서울",서울,0,1,82 02-3487-2010,82 02-463-2018,OFFERED SERVICES: ASSISTANCE,
15,송파 전시장,"서울특별시 송파구 오금로 235 (방이동 227-4), 05644, 서울",서울,1,0,82 02-413-0511,82 02-413-0195,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
16,일산 전시장/서비스센터,"경기도 고양시 일산동구 백마로 489 (풍동 149-12), 10304, 일산",일산,1,1,82 031-904-2200,82 031-932-9215,"OFFERED SERVICES: SALES , ASSISTANCE",MASERATI OFFICIAL DEALER
17,한남 전시장/서비스센터,"서울시 용산구 이태원로 270 호성빌딩 (한남동 729-45), 04399, 서울",서울,1,1,82 02-6261-1980,82 02-793-8824,"OFFERED SERVICES: SALES , ASSISTANCE , AUTHORIZED BODY SHOP",MASERATI OFFICIAL DEALER
